date P ETpot Qrain_Nwp Qrain_Pbh Qdrain_Nwp Qdrain_Pbh GWL_Nwp GWL_P GWL_Bh
1973012312  0.000 0.033  0.000  0.000 0.054 0.058 500 464 519
1973012315  0.101 0.005  0.000  0.000 0.054 0.058 500 464 519
1973012318  0.000 0.000  0.000  0.000 0.054 0.058 500 464 519
1973012321  0.000 0.000  0.000  0.000 0.054 0.060 500 464 519
1973012400  0.000 0.000  0.000  0.000 0.054 0.060 500 464 519
1973012403  0.000 0.000  0.000  0.000 0.054 0.059 500 464 519
1973012406  0.000 0.023  0.000  0.000 0.054 0.059 500 464 519
1973012409  0.000 0.172  0.000  0.000 0.054 0.059 500 464 519
1973012412  0.000 0.093  0.000  0.000 0.054 0.058 500 464 519
1973012415  0.000 0.014  0.000  0.000 0.056 0.057 500 465 519
1973012418  0.000 0.000  0.000  0.000 0.056 0.059 500 465 519
1973012421  0.000 0.000  0.000  0.000 0.056 0.059 500 465 519
1973012500  0.000 0.000  0.000  0.000 0.057 0.060 500 465 519
1973012503  0.000 0.000  0.000  0.000 0.057 0.059 500 465 519
1973012506  0.000 0.024  0.000  0.000 0.057 0.059 500 465 519
1973012509  0.000 0.143  0.000  0.000 0.057 0.058 500 465 519
1973012512  0.000 0.132  0.000  0.000 0.057 0.058 500 464 519
1973012515  0.000 0.002  0.000  0.000 0.059 0.059 500 464 519
1973012518  0.000 0.000  0.000  0.000 0.059 0.059 500 464 519
1973012521  0.000 0.000  0.000  0.000 0.059 0.059 500 464 519
1973012600  0.000 0.000  0.000  0.000 0.059 0.060 500 464 519
1973012603  0.000 0.000  0.000  0.000 0.059 0.060 500 464 519
1973012606  0.849 0.004  0.000  0.124 0.060 0.060 500 464 519
1973012609  0.052 0.043  0.000  0.178 0.060 0.059 500 464 519
1973012612  0.096 0.050  0.000  0.000 0.060 0.058 500 464 519
1973012615  0.216 0.003  0.000  0.021 0.061 0.059 500 464 519
1973012618  2.282 0.000  0.000  0.529 0.062 0.060 500 463 519
1973012621  4.356 0.000  0.000  3.375 0.063 0.060 500 463 519
1973012700  0.254 0.000  0.000  0.773 0.064 0.061 499 463 519
1973012703  0.048 0.000  0.000  0.202 0.065 0.062 498 463 519
1973012706  0.143 0.005  0.000  0.000 0.066 0.062 497 463 519
1973012709  0.331 0.076  0.000  0.166 0.066 0.061 497 462 519
1973012712  0.199 0.108  0.000  0.172 0.067 0.061 496 462 519
1973012715  0.072 0.010  0.000  0.103 0.067 0.061 496 462 519
1973012718  0.000 0.000  0.000  0.077 0.067 0.059 495 462 519
1973012721  0.000 0.000  0.000  0.353 0.067 0.059 495 463 519
1973012800  0.000 0.000  0.000  0.000 0.067 0.060 495 463 519
1973012803  0.000 0.000  0.000  0.000 0.067 0.059 495 463 519
1973012806  0.000 0.034  0.000  0.000 0.067 0.059 495 463 519
1973012809  0.096 0.266  0.000  0.000 0.067 0.059 495 463 519
1973012812  0.072 0.182  0.000  0.000 0.067 0.059 495 464 519
1973012815  0.024 0.016  0.000  0.000 0.067 0.058 495 464 519
1973012818  0.000 0.000  0.000  0.000 0.067 0.058 495 464 519
1973012821  0.000 0.000  0.000  0.000 0.067 0.057 495 464 519
1973012900  0.288 0.000  0.000  0.013 0.067 0.058 495 464 519
1973012903  0.299 0.000  0.000  0.170 0.067 0.059 495 464 519
1973012906  0.000 0.025  0.000  0.695 0.068 0.059 495 464 519
1973012909  0.000 0.171  0.000  0.000 0.068 0.058 495 464 519
1973012912  0.000 0.099  0.000  0.000 0.068 0.058 495 464 519
1973012915  0.000 0.006  0.000  0.000 0.068 0.058 494 464 519
1973012918  0.000 0.000  0.000  0.000 0.068 0.058 494 464 519
1973012921  0.000 0.000  0.000  0.000 0.068 0.058 494 464 519
1973013000  0.000 0.000  0.000  0.000 0.069 0.058 494 464 519
1973013003  0.000 0.000  0.000  0.000 0.069 0.059 494 464 519
1973013006  0.000 0.012  0.000  0.000 0.069 0.059 494 464 519
1973013009  0.000 0.152  0.000  0.000 0.070 0.057 494 464 519
1973013012  0.000 0.128  0.000  0.000 0.070 0.058 494 464 519
1973013015  0.000 0.007  0.000  0.000 0.069 0.057 494 464 519
1973013018  0.096 0.000  0.000  0.000 0.069 0.058 494 464 519
1973013021  0.291 0.000  0.000  0.009 0.069 0.058 494 463 519
1973013100  1.190 0.000  0.000  0.525 0.069 0.059 494 463 519
1973013103  0.205 0.000  0.000  0.269 0.068 0.059 494 463 519
1973013106  0.096 0.027  0.000  0.155 0.068 0.059 494 463 519
1973013109  0.096 0.245  0.000  0.038 0.068 0.058 494 463 519
1973013112  0.000 0.203  0.000  2.983 0.068 0.058 494 463 519
1973013115  0.000 0.024  0.000  0.000 0.068 0.058 494 464 519
